timstamp,high,low,open,close
1602633600000,4.25150000,4.37950000,4.08360000,4.18290000
1602720000000,4.18160000,4.18730000,4.02000000,4.09900000
1602806400000,4.09900000,4.15620000,3.80000000,3.91060000
1602892800000,3.91320000,3.97990000,3.86070000,3.96630000
1602979200000,3.96520000,4.12500000,3.95400000,4.10680000
1603065600000,4.10700000,4.12290000,3.95010000,3.98600000
1603152000000,3.98430000,4.14900000,3.86410000,3.90340000
1603238400000,3.90340000,4.26000000,3.89070000,4.13520000
1603324800000,4.13290000,4.33800000,4.12340000,4.26830000
1603411200000,4.26960000,4.48000000,4.18500000,4.26330000
1603497600000,4.26400000,4.43000000,4.23810000,4.35360000
1603584000000,4.35000000,4.44950000,4.25880000,4.33100000
1603670400000,4.33150000,4.74750000,4.29060000,4.70310000
1603756800000,4.70640000,4.95000000,4.64290000,4.67210000
1603843200000,4.67230000,4.78000000,4.25200000,4.35700000
1603929600000,4.35690000,4.41150000,3.84690000,4.06050000
1604016000000,4.06050000,4.16200000,3.91530000,4.08450000
1604102400000,4.08430000,4.28200000,4.05740000,4.18540000
1604188800000,4.18330000,4.22500000,4.10790000,4.22110000
1604275200000,4.22110000,4.26270000,3.96000000,4.03160000
1604361600000,4.02720000,4.06940000,3.88420000,4.03620000
1604448000000,4.03770000,4.15560000,3.89150000,4.09690000
1604534400000,4.09880000,4.30000000,4.01050000,4.22290000
1604620800000,4.22480000,4.64000000,4.20200000,4.58260000
1604707200000,4.58370000,4.85860000,4.08000000,4.23410000
1604793600000,4.23110000,4.42750000,4.13000000,4.37360000
1604880000000,4.37330000,4.46390000,4.23950000,4.34630000
1604966400000,4.34760000,4.50610000,4.29980000,4.42310000
1605052800000,4.42300000,4.63000000,4.41680000,4.44610000
1605139200000,4.44600000,4.47580000,4.31030000,4.40420000
1605225600000,4.40420000,4.59180000,4.36940000,4.54250000
1605312000000,4.54010000,4.55490000,4.35170000,4.46370000
1605398400000,4.46560000,4.50270000,4.30630000,4.36640000
1605484800000,4.36590000,4.60000000,4.33530000,4.49830000
1605571200000,4.49860000,4.93480000,4.48820000,4.85690000
1605657600000,4.85740000,4.94500000,4.49500000,4.67970000
1605744000000,4.67910000,4.85000000,4.53990000,4.75670000
1605830400000,4.75570000,5.47140000,4.74040000,5.23000000
1605916800000,5.23010000,5.81370000,5.12850000,5.78240000
1606003200000,5.78220000,5.84530000,5.17020000,5.52400000
1606089600000,5.51600000,5.96000000,5.41500000,5.90930000
1606176000000,5.90630000,6.08570000,5.60500000,5.73340000
1606262400000,5.73050000,5.83280000,5.13000000,5.30180000
1606348800000,5.30000000,5.37710000,4.43420000,4.80900000
1606435200000,4.80910000,5.07520000,4.49690000,4.81510000
1606521600000,4.81480000,4.95450000,4.67000000,4.89390000
1606608000000,4.89250000,5.20590000,4.80000000,5.19200000
1606694400000,5.19200000,5.44760000,5.13330000,5.37670000
1606780800000,5.37800000,5.54290000,4.92000000,5.08060000
1606867200000,5.08240000,5.54590000,4.99940000,5.46450000
1606953600000,5.45830000,5.56790000,5.32100000,5.39970000
1607040000000,5.39820000,5.43360000,4.95530000,5.00000000
1607126400000,5.00000000,5.19250000,4.87670000,5.18060000
1607212800000,5.18170000,5.20680000,5.00000000,5.12680000
1607299200000,5.12930000,5.15640000,5.01070000,5.05690000
1607385600000,5.05680000,5.07110000,4.70000000,4.73990000
1607472000000,4.73780000,4.93920000,4.61670000,4.87280000
1607558400000,4.87320000,4.91670000,4.70000000,4.80030000
1607644800000,4.80260000,4.81530000,4.54000000,4.61200000
1607731200000,4.61020000,4.79890000,4.60700000,4.73850000
1607817600000,4.73810000,5.10000000,4.72500000,4.89570000
1607904000000,4.89660000,5.00940000,4.82640000,4.89690000
1607990400000,4.89780000,5.29110000,4.84450000,5.23910000
1608076800000,5.24000000,5.37400000,5.11500000,5.36470000
1608163200000,5.36340000,5.74980000,5.26700000,5.34550000
1608249600000,5.34270000,5.50970000,5.24500000,5.35490000
1608336000000,5.35920000,5.57700000,5.27660000,5.33580000
1608422400000,5.33640000,5.43740000,5.07230000,5.18680000
1608508800000,5.18660000,5.44830000,4.77320000,4.87020000
1608595200000,4.87070000,5.21000000,4.79740000,5.15500000
1608681600000,5.15250000,5.19110000,4.58590000,4.71490000
1608768000000,4.71490000,5.20130000,4.62980000,5.11160000
1608854400000,5.11020000,5.28810000,5.04070000,5.20990000
1608940800000,5.21240000,5.29380000,5.08100000,5.19240000
1609027200000,5.19460000,5.46910000,4.93250000,5.14550000
1609113600000,5.14620000,6.70000000,5.10800000,6.59820000
1609200000000,6.59310000,7.70000000,6.12000000,7.54020000
1609286400000,7.54730000,7.67800000,7.05500000,7.22820000
1609372800000,7.22840000,9.51000000,7.12060000,9.26190000
1609459200000,9.26200000,9.42800000,8.07290000,8.27760000
1609545600000,8.27750000,9.89000000,7.89000000,9.20370000
1609632000000,9.20560000,10.50000000,8.84480000,10.13070000
1609718400000,10.14530000,10.51690000,8.70000000,9.51260000
1609804800000,9.51470000,10.04410000,9.01000000,9.70840000
1609891200000,9.71260000,10.44520000,9.46110000,10.06790000
1609977600000,10.06790000,10.68000000,9.38000000,9.64390000
1610064000000,9.64320000,9.81400000,8.77880000,9.29980000
1610150400000,9.29590000,9.81500000,9.04180000,9.73540000
1610236800000,9.73540000,9.98890000,8.60540000,9.29110000
1610323200000,9.29620000,9.32000000,7.16420000,8.26910000
1610409600000,8.27360000,8.72430000,7.92010000,8.30780000
1610496000000,8.30720000,11.44070000,7.98330000,10.94860000
1610582400000,10.94170000,14.68000000,10.88010000,14.48670000
